Date,Open,High,Low,Close,Change,Change%,Devation%,trx_cnt,trx_record,avg_cnt,amount,FI,IT,Dealer,Big3,FI_Share%,loanM_chg,loanM_chg%,loanS_chg,loanS_chg%,loan_M_S%
2019/09/10,819,819,790,791,+1,+0.13,3.67,454,440,1,3.6,+47,-39,-12,-4,50.6,0,235,0,45,19.1
2019/09/11,803,821,799,813,+22,+2.78,2.78,433,446,0.97,3.5,+85,-1,-1,+83,50.8,-6,229,+1,46,20.1
2019/09/12,813,825,812,821,+8,+0.98,1.6,279,287,0.97,2.3,+67,0,-5,+62,51,-17,212,0,46,21.7
2019/09/16,820,821,790,796,-25,-3.05,3.78,268,289,0.93,2.2,-19,+4,0,-15,51,-12,200,-1,45,22.5
2019/09/17,791,818,791,818,+22,+2.76,3.39,334,293,1.1,2.7,+61,-10,-5,+46,51.2,-12,188,+1,46,24.5
2019/09/18,817,819,806,817,-1,-0.12,1.59,231,219,1.1,1.9,-1,0,-5,-6,51.2,-6,182,0,46,25.3
2019/09/19,816,835,811,824,+7,+0.86,2.94,210,220,0.95,1.7,+11,-3,+6,+14,51.2,+6,188,0,46,24.5
2019/09/20,827,867,819,867,+43,+5.22,5.83,560,587,0.95,4.8,+151,-12,+10,+149,51.6,-32,156,+2,48,30.8
2019/09/23,859,880,854,860,-7,-0.81,3,361,378,0.96,3.1,+7,+2,-17,-8,51.6,+6,162,+2,50,30.9
2019/09/24,867,874,839,848,-12,-1.4,4.07,287,306,0.94,2.4,+28,-51,-8,-31,51.7,+9,171,-3,47,27.5
2019/09/25,843,846,821,825,-23,-2.71,2.95,312,326,0.96,2.6,+72,-115,-1,-44,51.9,+19,190,0,47,24.7
2019/09/26,837,843,802,810,-15,-1.82,4.97,328,340,0.96,2.7,-36,-39,-3,-78,51.8,+10,200,-2,45,22.5
2019/09/27,820,821,782,789,-21,-2.59,4.81,415,438,0.95,3.3,+60,-98,-6,-44,52,+30,230,-1,44,19.1
2019/10/01,799,809,787,787,-2,-0.25,2.79,292,292,1,2.3,-88,-21,+3,-106,51.7,+44,274,-2,42,15.3
